ID_Atendimento;Tempo_Medio_Atendimento;Assunto_Atendimento;Chamado;Improcedente;Mais_de_um_protocolo;Acionou_suporte_focal
127633;00:19:55;Manutencao;Nao;;Sim;Nao
127634;00:19:55;Transferencia;Nao;;Sim;Sim
127635;00:19:55;Transferencia;Nao;;Sim;Sim
127636;00:14:46;LCD;Nao;;Nao;Nao
127637;00:14:41;C&R;Nao;;Nao;Nao
127638;00:26:36;Manutencao;Nao;;Nao;Nao
127639;00:11:38;Transferencia;Nao;;Sim;Sim
127640;00:11:38;Transferencia;Nao;;Sim;Sim
127641;00:21:51;LCD;Nao;;Nao;Nao
127642;00:09:10;LCD;Nao;;Sim;Nao
127643;00:09:10;Manutencao;Nao;;Sim;Nao
127644;00:09:10;Manutencao;Nao;;Sim;Nao
127645;00:09:10;Transferencia;Nao;;Sim;Sim
127646;00:09:10;Transferencia;Nao;;Sim;Sim
127647;00:04:24;LCD;Nao;;Nao;Nao
127648;00:21:47;C&R;Sim;;Nao;Sim
127649;00:10:54;C&R;Nao;;Sim;Nao
127650;00:10:54;C&R;Nao;;Sim;Nao
127651;00:09:33;LCD;Nao;;Nao;Nao
127652;00:00:00;Queda Atendimento;Nao;;Nao;Nao
127653;00:05:19;C&R;Nao;;Nao;Nao
127654;00:00:27;Queda Atendimento;Nao;;Nao;Nao
127655;00:00:05;Queda Atendimento;Nao;;Nao;Nao
127656;00:11:17;C&R;Nao;;Sim;Nao
127657;00:11:17;Transferencia;Nao;;Sim;Sim
127658;00:11:17;Transferencia;Nao;;Sim;Sim
127659;00:14:06;C&R;Nao;;Sim;Nao
127660;00:14:06;C&R;Nao;;Sim;Nao
127661;00:04:56;Transferencia;Nao;;Sim;Sim
127662;00:04:56;Transferencia;Nao;;Sim;Sim
127663;00:06:30;LCD;Nao;;Sim;Nao
127664;00:06:30;LCD;Nao;;Sim;Nao
127665;00:06:30;LCD;Nao;;Sim;Nao
127666;00:06:30;C&R;Nao;;Sim;Nao
127667;01:06:45;C&R;Sim;Nao;Nao;Sim
127668;00:00:27;Queda Atendimento;Nao;;Nao;Nao
127669;00:24:09;LCD;Nao;;Nao;Nao
127670;00:15:46;C&R;Nao;;Sim;Nao
127671;00:15:46;Manutencao;Nao;;Sim;Nao
127672;00:16:35;C&R;Nao;;Sim;Nao
127673;00:07:00;C&R;Nao;;Nao;Nao
127674;00:29:04;C&R;Sim;Nao;Nao;Sim
127675;00:11:03;C&R;Nao;;Nao;Nao
127676;00:13:01;C&R;Nao;;Nao;Nao
127677;00:05:06;Transferencia;Nao;;Sim;Sim
127678;00:05:06;Transferencia;Nao;;Sim;Sim
